iter_id,train_start,train_end,test_start,test_end,fast,slow,train_sharpe,train_mdd
0,2024-02-01 09:00:00+00:00,2024-05-01 08:00:00+00:00,2024-05-01 09:00:00+00:00,2024-05-31 08:00:00+00:00,40,160,-1.3720825117600153,-0.13872938337102247
1,2024-03-02 09:00:00+00:00,2024-05-31 08:00:00+00:00,2024-05-31 09:00:00+00:00,2024-06-30 08:00:00+00:00,50,200,-0.3872974401454993,-0.14514734719967293
2,2024-04-01 09:00:00+00:00,2024-06-30 08:00:00+00:00,2024-06-30 09:00:00+00:00,2024-07-30 08:00:00+00:00,50,200,1.1908216202467785,-0.06882020836373304
3,2024-05-01 09:00:00+00:00,2024-07-30 08:00:00+00:00,2024-07-30 09:00:00+00:00,2024-08-29 08:00:00+00:00,30,120,1.5710970222799825,-0.062444769659074195
4,2024-05-31 09:00:00+00:00,2024-08-29 08:00:00+00:00,2024-08-29 09:00:00+00:00,2024-09-28 08:00:00+00:00,30,120,-0.38011781286742874,-0.12603184579134585
5,2024-06-30 09:00:00+00:00,2024-09-28 08:00:00+00:00,2024-09-28 09:00:00+00:00,2024-10-28 08:00:00+00:00,20,80,-0.3128936171699394,-0.1290219975400676
6,2024-07-30 09:00:00+00:00,2024-10-28 08:00:00+00:00,2024-10-28 09:00:00+00:00,2024-11-27 08:00:00+00:00,20,80,0.50112913767921,-0.0740914210630117
7,2024-08-29 09:00:00+00:00,2024-11-27 08:00:00+00:00,2024-11-27 09:00:00+00:00,2024-12-27 08:00:00+00:00,20,80,5.10901372652699,-0.04877974916446004
8,2024-09-28 09:00:00+00:00,2024-12-27 08:00:00+00:00,2024-12-27 09:00:00+00:00,2025-01-26 08:00:00+00:00,20,80,3.9570593624388524,-0.04594241050142467
9,2024-10-28 09:00:00+00:00,2025-01-26 08:00:00+00:00,2025-01-26 09:00:00+00:00,2025-02-25 08:00:00+00:00,20,80,0.15625091082494635,-0.07926012350499934
10,2024-11-27 09:00:00+00:00,2025-02-25 08:00:00+00:00,2025-02-25 09:00:00+00:00,2025-03-27 08:00:00+00:00,20,80,-0.808173741619341,-0.11405366950138296
11,2024-12-27 09:00:00+00:00,2025-03-27 08:00:00+00:00,2025-03-27 09:00:00+00:00,2025-04-26 08:00:00+00:00,20,80,0.8235452892032362,-0.06089584201217513
12,2025-01-26 09:00:00+00:00,2025-04-26 08:00:00+00:00,2025-04-26 09:00:00+00:00,2025-05-26 08:00:00+00:00,60,240,2.064741887811374,-0.09388566806533738
13,2025-02-25 09:00:00+00:00,2025-05-26 08:00:00+00:00,2025-05-26 09:00:00+00:00,2025-06-25 08:00:00+00:00,60,240,2.409118241639159,-0.05377161884867421
14,2025-03-27 09:00:00+00:00,2025-06-25 08:00:00+00:00,2025-06-25 09:00:00+00:00,2025-07-25 08:00:00+00:00,60,240,-0.45736806290630067,-0.08768551368868904
15,2025-04-26 09:00:00+00:00,2025-07-25 08:00:00+00:00,2025-07-25 09:00:00+00:00,2025-08-24 08:00:00+00:00,60,240,-0.9015718618635242,-0.11129619308010208
16,2025-05-26 09:00:00+00:00,2025-08-24 08:00:00+00:00,2025-08-24 09:00:00+00:00,2025-09-23 08:00:00+00:00,60,240,0.500148529173181,-0.09422503501460155
17,2025-06-25 09:00:00+00:00,2025-09-23 08:00:00+00:00,2025-09-23 09:00:00+00:00,2025-10-23 08:00:00+00:00,60,240,-0.016914969913940515,-0.06900481373271872
18,2025-07-25 09:00:00+00:00,2025-10-23 08:00:00+00:00,2025-10-23 09:00:00+00:00,2025-11-22 08:00:00+00:00,40,160,1.2937218744594012,-0.06697480335282646
19,2025-08-24 09:00:00+00:00,2025-11-22 08:00:00+00:00,2025-11-22 09:00:00+00:00,2025-12-22 08:00:00+00:00,20,80,1.4431183850688658,-0.07477210047946603
20,2025-09-23 09:00:00+00:00,2025-12-22 08:00:00+00:00,2025-12-22 09:00:00+00:00,2026-01-21 08:00:00+00:00,20,80,-2.2582186539412428,-0.1370621513361744
